Tweets,Celebrity,Twitter handle,Cloudinary Picture,Category
I can't belive my grand mothers making me take Out the garbage I'm rich fuck this I'm going home I don't need this shit,50 Cent,@50cent,http://res.cloudinary.com/dgtihmi68/image/upload/v1503950576/50cent.jpg,Musicians
"Speaking of MILF. I wanna do something that impact kids in a positive way, thats why im opening an abortion clinic. Ima call it 50/50 chance",50 Cent,@50cent,http://res.cloudinary.com/dgtihmi68/image/upload/v1503950576/50cent.jpg,Musicians
Ok I'm in the studio and I think I just smoked crack and im crying cause I'm not gonna stop. Can anyone help me ?lol,50 Cent,@50cent,http://res.cloudinary.com/dgtihmi68/image/upload/v1503950576/50cent.jpg,Musicians
Man I'm learning all this freaky shit on twitterI want all you justin beaver loving ass kids off this motherfucker right now lol,50 Cent,@50cent,http://res.cloudinary.com/dgtihmi68/image/upload/v1503950576/50cent.jpg,Musicians
"Dear Fox News, don't play our music on your evil fucking channel ever again. Thank you.",Adam Levine,@adamlevine,http://res.cloudinary.com/dgtihmi68/image/upload/v1503950680/adamlevine.jpg,Musicians
Thinking about telling my kids Santa doesn't exist so I can get credit for some of this shit.,Adam Scott,@mradamscott,http://res.cloudinary.com/dgtihmi68/image/upload/v1503950797/mradamscott.jpg,TV Stars
Good luck Leo! Everyone loves you because you're the best. Meet me at the clock anytime bruv X,Adele,@Adele,http://res.cloudinary.com/dgtihmi68/image/upload/v1503950880/Adele.jpg,Musicians
"Flight attendant on American reamed me out 4 playing WORDS W FRIENDS while we sat at the gate, not moving. #nowonderamericaairisbankrupt",Alec Baldwin,@AlecBaldwin,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951013/AlecBaldwin.jpg,Movie Stars
Starbucks on 93 and B'way. Uptight Queen barrista named JAY has an attitude problem.,Alec Baldwin,@AlecBaldwin,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951013/AlecBaldwin.jpg,Movie Stars
Woah I just had a strange (sexy) Karl Lagerfeld dream. I don’t want to talk about it,Alexa Chung,@alexa_chung,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951490/alexa_chung.png,Socialite
"Drunk on a Plane"" movie about me right now, no Samuel L in sight",Amy Schumer,@amyschumer,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951723/amyschumer.jpg,Comedians
"wine guy at coppola, ""are you sure you want another glass of wine"" me ""yes I'm drinking for 2""",Amy Schumer,@amyschumer,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951723/amyschumer.jpg,Comedians
I’m so humble it’s crazy. I’m like the Kanye West of humility.,Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
Oh God. I just realized I'm stuck with me my whole life.,Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
I've still never seen a fidget spinner in person. So I guess I've made all the correct life choices?,Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
"Why is every TV detective also a fashion expert? ""Our witness is a plumber but he's wearing Gucci shoes – must have a sugar mama.""",Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
"Snake update: I've heard she's alive and well, and that her name is Banana! This makes me smile :)",Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
Is a museum just an endurance test of how long you can last before you start making silly comments about the art?,Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
"All that ornate furnishing would get me stressed. - me, deciding I probably couldn't be the president.",Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
"Hey. People who follow over 1,000 people on twitter. Explain yourselves.",Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
"Any tips for getting rubber cement out of your hair? Also, making movies is...... never boring. But honestly, any tips? (PLEASE help me)",Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
"Why do I wish for more hours in the day when I spend so much of the time I DO have pinning ""healthy recipes"" I KNOWWW I'm never gonna try?",Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
I like my men like I like my coffee. Silent.,Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Movie Stars
My next single is dropping unexpectedly like bird shit.,Ansel Elgort,@AnselElgort,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952020/AnselElgort.jpg,Movie Stars
